casino_name,website_url,accepted_crypto,bonus_percentage,bonus_max_amount_in_euro,max_bonus_value,free_spins,bonus_type,logo_path,player_rating,casino_rating,pros_path,cons_path,review_path
WSM Casino,https://www.wsmcasino.com/,"₳, ℬ, ₿, Ƀ, Ð, Ξ, Ł, ✕, τ, ₮",200%,€25000.0,€50000,10,Other,casino_logos/wsm_casino.webp,9.4,7.2,pros/wsm_casino.txt,cons/wsm_casino.txt,review/wsm_casino.txt
Megarich Casino,https://megarich.com/en,"₿, Ð, Ξ, Ł, τ, ₮",100%,€1000.0,€1000,100,1st Deposit Bonus,casino_logos/megarich_casino.webp,0.0,6.6,pros/megarich_casino.txt,cons/megarich_casino.txt,review/megarich_casino.txt
FatPirate Casino,https://fatpirate.com/,"₿, Ð, Ł, ₮",100%,€500.0,€500,200,Welcome Bonus,casino_logos/fatpirate_casino.webp,0.0,6.6,pros/fatpirate_casino.txt,cons/fatpirate_casino.txt,review/fatpirate_casino.txt
Casiny Casino,https://www.casiny.com/,"₿, Ξ, Ł, ₮",100%,€500.0,€500,100,1st Deposit Bonus,casino_logos/casiny_casino.webp,10.0,7.2,pros/casiny_casino.txt,cons/casiny_casino.txt,review/casiny_casino.txt
LuckyStar Casino,http://www.luckystar.io,"₿, Ξ, Ł, ✕",150%,-,-,50,1st Deposit Bonus,casino_logos/luckystar_casino.webp,7.2,7.2,pros/luckystar_casino.txt,cons/luckystar_casino.txt,review/luckystar_casino.txt
Buumi Casino,https://www.buumi.com,"₿, Ƀ, Ξ, Ł",100%,€5000.0,€5000,0,Other,casino_logos/buumi_casino.webp,2.8,7.2,pros/buumi_casino.txt,cons/buumi_casino.txt,review/buumi_casino.txt
Divas Luck Casino,https://divasluckcasino.com,₿,180%,€1000.0,€1800,0,Other,casino_logos/divas_luck_casino.webp,6.2,7.2,pros/divas_luck_casino.txt,cons/divas_luck_casino.txt,review/divas_luck_casino.txt
Skycrown Casino,https://www.skycrown.com/,"₳, ₿, Ƀ, Ð, Ξ, Ł, ✕, τ, ₮",120%,€500.0,€600,125,1st Deposit Bonus,casino_logos/skycrown_casino.webp,5.6,7.2,pros/skycrown_casino.txt,cons/skycrown_casino.txt,review/skycrown_casino.txt
Betmartini Casino,https://www.betmartini.com,₿,100%,€500.0,€500,0,Other,casino_logos/betmartini_casino.webp,6.0,6.9,pros/betmartini_casino.txt,cons/betmartini_casino.txt,review/betmartini_casino.txt
Monixbet Casino,https://monixbet.com/,"₿, Ƀ, Ð, Ξ, Ł, ₮",100%,€500.0,€500,100,1st Deposit Bonus,casino_logos/monixbet_casino.webp,9.0,7.2,pros/monixbet_casino.txt,cons/monixbet_casino.txt,review/monixbet_casino.txt
TikiTaka Casino,https://tikitaka.com/,₿,100%,€500.0,€500,200,Other,casino_logos/tikitaka_casino.webp,0.0,6.3,pros/tikitaka_casino.txt,cons/tikitaka_casino.txt,review/tikitaka_casino.txt
HappySpins Casino,https://www.happyspins.com/,₿,200%,€1000.0,€2000,0,Welcome Bonus,casino_logos/happyspins_casino.webp,3.8,7.1,pros/happyspins_casino.txt,cons/happyspins_casino.txt,review/happyspins_casino.txt
Wasino Casino,https://wasino.com/,"₳, ℬ, ₿, Ƀ, Ð, Ξ, Ł, ✕, τ, ₮, ₵",150%,€500.0,€750,100,1st Deposit Bonus,casino_logos/wasino_casino.webp,9.7,7.1,pros/wasino_casino.txt,cons/wasino_casino.txt,review/wasino_casino.txt
Funbet Casino,https://funbet.com/,"₿, Ð, Ł, ₮",100%,€500.0,€500,200,Welcome Bonus,casino_logos/funbet_casino.webp,8.0,6.6,pros/funbet_casino.txt,cons/funbet_casino.txt,review/funbet_casino.txt
Pin-up Casino,https://www.pin-up.world,₿,120%,€5000.0,€6000,250,Other,casino_logos/pin-up_casino.webp,9.3,7.3,pros/pin-up_casino.txt,cons/pin-up_casino.txt,review/pin-up_casino.txt
HappySlots Casino,http://happyslots.com/,"ℬ, ₿, Ƀ, Ð, Ξ, Ł, ✕, τ, ₮, ₵",200%,€2000.0,€4000,0,Welcome Bonus,casino_logos/happyslots_casino.webp,6.3,7.1,pros/happyslots_casino.txt,cons/happyslots_casino.txt,review/happyslots_casino.txt
SpinyBet Casino,https://spinybet.com/,₿,100%,€300.0,€300,0,1st Deposit Bonus,casino_logos/spinybet_casino.webp,0.0,6.5,pros/spinybet_casino.txt,cons/spinybet_casino.txt,review/spinybet_casino.txt
Omni Slots Casino,http://www.omnislots.com,₿,100%,€300.0,€300,50,1st Deposit Bonus,casino_logos/omni_slots_casino.webp,6.4,7.1,pros/omni_slots_casino.txt,cons/omni_slots_casino.txt,review/omni_slots_casino.txt
NorgesSpill Casino,http://www.norgesspill.com,₿,100%,€2500.0,€2500,0,Other,casino_logos/norgesspill_casino.webp,8.0,7.1,pros/norgesspill_casino.txt,cons/norgesspill_casino.txt,review/norgesspill_casino.txt
Lucy's Casino,https://lucyscasino.com/,₿,140%,€1000.0,€1400,0,Other,casino_logos/lucys_casino.webp,6.7,7.1,pros/lucys_casino.txt,cons/lucys_casino.txt,review/lucys_casino.txt
Solisbet Casino,https://solisbet.com/,"₳, ℬ, ₿, Ƀ, Ð, Ξ, Ł, ₮",100%,€400.0,€400,0,1st Deposit Bonus,casino_logos/solisbet_casino.webp,9.2,7.1,pros/solisbet_casino.txt,cons/solisbet_casino.txt,review/solisbet_casino.txt
Genie Jackpot Casino,http://geniejackpot.com/,"₳, ₿, Ƀ, Ð, Ξ, Ł, ✕, τ, ₮, ₵",125%,€1.0,€1,50,Other,casino_logos/genie_jackpot_casino.webp,8.0,6.3,pros/genie_jackpot_casino.txt,cons/genie_jackpot_casino.txt,review/genie_jackpot_casino.txt
Haz Casino,https://www.hazcasino.com/en/,₿,100%,€300.0,€300,25,1st Deposit Bonus,casino_logos/haz_casino.webp,7.3,7.1,pros/haz_casino.txt,cons/haz_casino.txt,review/haz_casino.txt
Red Dice Casino,https://www.reddice.com,₿,200%,€1000.0,€2000,0,Other,casino_logos/red_dice_casino.webp,0.0,7.1,pros/red_dice_casino.txt,cons/red_dice_casino.txt,review/red_dice_casino.txt
Casinobet Casino,https://www.casinobet.com/,"₿, Ð, Ξ, Ł, ✕, ₮",100%,€1000.0,€1000,0,Welcome Bonus,casino_logos/casinobet_casino.webp,10.0,7.1,pros/casinobet_casino.txt,cons/casinobet_casino.txt,review/casinobet_casino.txt
Auf Casino,http://aufcasino.com/,"₿, Ξ, Ł, τ, ₮, ₵",100%,€15000.0,€15000,0,1st Deposit Bonus,casino_logos/auf_casino.webp,8.0,7.1,pros/auf_casino.txt,cons/auf_casino.txt,review/auf_casino.txt
